Date,Bitcoin_Price,Gold_Price,Bitcoin_Normalized,Gold_Normalized
2017-08-04,2790.0,119.65,1182.3536890282662,105.81004598514328
2017-08-11,3340.28,122.79,1415.5528245115904,108.58684117438982
2017-08-18,4279.79,122.3,1813.7008941814638,108.15351963211886
2017-08-25,4133.67,122.74,1751.777768360385,108.54262469048462
2017-09-01,4732.87,126.06,2005.7083527567063,111.47859922178989
2017-09-08,4612.12,127.97,1954.536593634784,113.16766890696852
2017-09-15,3216.43,125.53,1363.0673390685256,111.00990449239477
2017-09-22,3894.48,123.24,1650.4131881171336,108.98478952953661
2017-09-29,4189.38,121.58,1775.3867016993688,107.51680226388399
2017-10-06,4211.55,121.09,1784.781963808959,107.08348072161303
2017-10-13,5435.75,123.82,2303.5767258549813,109.49770074283694
2017-10-20,5571.92,121.61,2361.283213967877,107.54333215422709
2017-10-27,5889.82,120.9,2496.0037292876214,106.91545808277327
2017-11-03,6751.98,120.62,2861.3722083315674,106.66784577290413
2017-11-10,7092.42,121.13,3005.6447853540703,107.11885390873717
2017-11-17,7279.78,122.86,3085.0447090731873,108.64874425185708
2017-11-24,8043.31,122.32,3408.61550197059,108.17120622568093
2017-12-01,9646.35,121.59,4087.9560961139127,107.52564556066501
2017-12-08,16860.88,118.48,7145.348985040472,104.77538026176158
2017-12-15,16252.31,119.18,6887.447556892825,105.39441103643439
2017-12-22,15521.07,120.94,6577.560706869516,106.95083126989742
2017-12-29,15422.19,123.65,6535.657075051914,109.34736469755926
2018-01-05,15169.66,125.33,6428.639233800906,110.83303855677396
2018-01-12,14882.86,126.96,6307.098359961013,112.27449593208347
2018-01-19,11174.82,126.42,4735.695215493495,111.79695790590733
2018-01-26,11392.03,128.07,4827.745052337162,113.2561018747789
2018-02-02,9098.27,126.39,3855.6892825359155,111.7704280155642
2018-02-09,7585.17,124.77,3214.4637030130953,110.33781393703572
2018-02-16,10033.77,127.96,4252.137983641989,113.15882561018746
2018-02-23,10485.78,126.14,4443.691994745095,111.5493455960382
2018-03-02,10931.12,125.39,4632.419375344324,110.88609833746021
2018-03-09,9920.46,125.54,4204.119167690807,111.01874778917582
2018-03-16,8263.34,124.6,3501.8604059838117,110.18747789175805
2018-03-23,8909.26,127.61,3775.5901173878037,112.84931022285107
2018-03-30,7099.17,125.79,3008.5053184726876,111.2398302087018
2018-04-06,6810.71,126.39,2886.2609653769546,111.7704280155642
2018-04-13,7941.46,127.45,3365.4532355807946,112.70781747435443
2018-04-20,8175.96,126.63,3464.830275034962,111.98266713830915
2018-04-27,9294.67,125.5,3938.9202017205575,110.98337460205165
2018-05-04,9220.76,124.54,3907.5984235284145,110.13441811107181
2018-05-11,9015.88,125.0,3820.7738271814205,110.54120976299964
2018-05-18,8343.27,122.41,3535.7333559350764,108.2507958967103
