Date,Bitcoin_Price,Gold_Price,Bitcoin_Weekly_Return,Gold_Weekly_Return
2018-08-24,6354.57,114.16,0.66246881311631256,1.8103986444305775
2018-08-31,6986.54,113.51,9.9451261060937277,-0.56937631394533561
2018-09-07,6695.32,113.23,-4.1683007611779228,-0.24667430182362393
2018-09-14,6479.6,113.02,-3.2219520500887056,-0.18546321646207842
2018-09-21,6389.3,113.49,-1.3936045434903455,0.41585560077861405
2018-09-28,6686.08,112.76,4.6449532812671057,-0.64322847828001128
2018-10-05,6483.73,113.8,-3.026437015411132,0.92231287690669461
2018-10-12,6207.79,115.23,-4.2558835731901219,1.256590509666089
2018-10-19,6595.51,116.01,6.2457009660442875,0.67690705545431218
2018-10-26,6466.29,116.77,-1.9592116454982267,0.65511593828118109
2018-11-02,6338.78,116.65,-1.9719189829098371,-0.10276612143529373
2018-11-09,6444.97,114.48,1.6752435011153644,-1.860265752250323
2018-11-16,5756.77,115.62,-10.678094700208064,0.99580712788260861
2018-11-23,4312.31,115.77,-25.091500963213743,0.12973533990658925
2018-11-30,4256.55,115.54,-1.2930424760743131,-0.19866977628054672
2018-12-07,3484.94,118.09,-18.1275915941314,2.2070278691362244
2018-12-14,3487.73,117.06,0.080058767152380028,-0.87221610635955793
2018-12-21,4135.19,118.72,18.56393700200416,1.4180762002391933
2018-12-28,3848.21,121.06,-6.9399471366490939,1.9710242587601012
2019-01-04,3822.87,121.44,-0.65848797232999079,0.3138939368907856
2019-01-11,4016.92,121.8,5.0760292659703277,0.29644268774704496
2019-01-18,3658.41,121.02,-8.9249972615835116,-0.64039408866994885
2019-01-25,3566.4,122.86,-2.515027019934879,1.5204098496116369
2019-02-01,3444.81,124.5,-3.4093203230148084,1.3348526778447
2019-02-08,3405.7,124.21,-1.1353311213100348,-0.23293172690763697
2019-02-15,3600.31,124.8,5.7142437678010527,0.47500201272039355
2019-02-22,3987.18,125.5,10.745463585080174,0.560897435897445
2019-03-01,3850.08,121.88,-3.4385204580681061,-2.8844621513944291
2019-03-08,3876.85,122.84,0.69531022731994518,0.78765999343617388
2019-03-15,3885.21,122.97,0.21563898525864822,0.10582872028654933
2019-03-22,4056.4,123.97,4.4061968336331914,0.81320647312352889
2019-03-29,4037.37,122.01,-0.46913519376787782,-1.5810276679841806
2019-04-05,4959.81,121.98,22.847546794076344,-0.024588148512416641
2019-04-12,5035.02,121.83,1.5163887326329117,-0.12297097884899078
2019-04-19,5220.37,120.37,3.6812167578281541,-1.1983912008536435
2019-04-26,5195.61,121.37,-0.474295883241993,0.83077178699011434
2019-05-03,5326.67,120.65,2.5225141994876576,-0.59322732141385837
2019-05-10,6146.91,121.43,15.398738799287347,0.64649813510153642
2019-05-17,8206.9,120.65,33.51261040099822,-0.64234538417194953
2019-05-24,7880.29,121.3,-3.9797000085294076,0.538748445917947
2019-05-31,8662.98,123.33,9.93224868627931,1.6735366859027323
2019-06-07,7803.23,126.59,-9.9244140007249229,2.6433146841806643
2019-06-14,8173.06,126.56,4.7394476389905238,-0.023698554388185133
2019-06-21,9531.35,131.98,16.619112058396723,4.2825537294563842
2019-06-28,12932.55,133.2,35.684346918327407,0.92438248219426367
2019-07-05,11160.49,132.14,-13.702324754205474,-0.79579579579579507
2019-07-12,12099.9,133.53,8.417282753714229,1.0519146359921461
2019-07-19,10638.56,134.47,-12.07728989495781,0.70396165655657317
2019-07-26,9772.17,133.64,-8.14386533515814,-0.61723804566075069
2019-08-02,10407.17,135.89,6.4980449582845878,1.6836276563902963
2019-08-09,11960.82,141.26,14.928650151770363,3.95172566046067
2019-08-16,10302.17,142.78,-13.86736026459724,1.0760300155741254
2019-08-23,10129.4,144.17,-1.6770253257323509,0.973525703880096
2019-08-30,9484.55,143.75,-6.3661223764487573,-0.29132274398279145
2019-09-06,10584.16,141.94,11.593697117944446,-1.2591304347826071
2019-09-13,10420.16,140.15,-1.5494852685522531,-1.2610962378469703
2019-09-20,10157.59,142.95,-2.51982695083377,1.9978594363182278
2019-09-27,8055.64,141.06,-20.693392822510059,-1.3221406086043941
2019-10-04,8382.03,141.9,4.0516954580889886,0.59549128030624843
2019-10-11,8586.9,140.03,2.4441573222715673,-1.317829457364339
2019-10-18,8002.51,140.46,-6.8055992267290755,0.30707705491681558
2019-10-25,7431.88,141.86,-7.1306377624020474,0.99672504627652536
2019-11-01,9164.62,142.56,23.314962028450424,0.49344424080077776
2019-11-08,9204.24,137.39,0.43231470590159304,-3.6265432098765538
2019-11-15,8762.42,138.21,-4.800179047917041,0.596841109251045
2019-11-22,7617.07,137.74,-13.071160706745399,-0.34006222415164933
2019-11-29,7523.83,137.86,-1.2240927285688596,0.087120662117046166
2019-12-06,7395.97,137.62,-1.6994004383405703,-0.1740896561729377
2019-12-13,7202.31,139.05,-2.6184530223892222,1.0390931550646743
2019-12-20,7150.86,139.52,-0.714354144711915,0.33800791082343462
2019-12-27,7192.72,142.33,0.585384135614464,2.0140481651376163
2020-01-03,6944.33,145.86,-3.4533528345326969,2.4801517599943868
2020-01-10,8042.65,146.91,15.816068648811331,0.71986836692716771
2020-01-17,8722.03,146.58,8.447215780868266,-0.2246273228507123
2020-01-24,8658.94,147.98,-0.72334078190513518,0.95510983763131829
2020-01-31,9502.37,149.33,9.7405687070241775,0.91228544397892186
2020-02-07,9614.9,147.79,1.1842308813485358,-1.0312730194870556
2020-02-14,10242.43,149.0,6.526640942703521,0.81872927802963957
2020-02-21,9604.72,154.7,-6.2261592219815087,3.8255033557046847
2020-02-28,8804.72,148.38,-8.3292381245887448,-4.0853264382676109
2020-03-06,8758.9,157.55,-0.5204026931009742,6.180078177651982
2020-03-13,4830.21,143.28,-44.853691673611984,-9.0574420818787758
2020-03-20,5410.23,140.11,12.008173557671387,-2.2124511446119377
2020-03-27,6763.75,152.25,25.017790371204196,8.6646206551994851
2020-04-03,6652.87,152.65,-1.6393272962483829,0.26272577996715452
2020-04-10,7293.69,158.69,9.6322339080727524,3.9567638388470217
2020-04-17,6623.8,158.57,-9.1845142856359363,-0.0756191316403032
2020-04-24,7477.6,162.64,12.889881940879855,2.5666897899981
2020-05-01,8777.63,159.78,17.38565850005347,-1.758484997540577
2020-05-08,10002.48,160.42,13.954222267286287,0.40055075729126255
2020-05-15,9305.93,163.93,-6.9637729842998874,2.1880064829821855
2020-05-22,9057.57,163.21,-2.6688358928124378,-0.43921185872018986
2020-05-29,9197.54,162.91,1.5453372151692069,-0.18381226640524773
